pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
actor,n. 男演员；行动者；作用物
Asian,"n. 亚洲人
adj. 亚洲的；亚洲人的"
artist,n. 艺术家；美术家（尤指画家）；大师
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
director,n. 主任，主管；导演；人事助理
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
town,n. 城镇，市镇；市内商业区
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
task,"n. 工作，作业；任务
vt. 分派任务"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
meat,n. 肉，肉类（食用）
worth,"n. 价值；财产
adj. 值…的"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
palace,n. 宫殿；宅邸；豪华住宅
ticket,vt. 加标签于；指派；对…开出交通违规罚单
wallet,n. 钱包，皮夹
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
college,n. 大学；学院；学会
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
village,n. 村庄；村民；（动物的）群落
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
safety,n. 安全；保险；安全设备；保险装置；安打
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
difficulty,n. 困难，困境
competition,n. 竞争；比赛，竞赛
communication,n. 通讯， 通信；交流；信函
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
shall,aux. 应；会；将；必须
depend,vi. 依赖，依靠；取决于；相信，信赖
forget,"vi. 忘记
vt. 忘记；忽略"
afford,vt. 给予，提供；买得起
arrive,vi. 到达；成功；达成；出生
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
discover,"vi. 发现
vt. 发现；发觉"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
paid,"adj. 付清的；已付的
vt. 支付（pay的过去式和过去分词）；付清"
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
several,"adj. 几个的；各自的
pron. 几个；数个"
foreign,adj. 外国的；外交的；异质的；不相关的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
harmful,adj. 有害的；能造成损害的
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
expensive,adj. 昂贵的；花钱的
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
electronic,"adj. 电子的
n. 电子电路；电子器件"
nor,"conj. 也不；也不是
adv. 也不；也没有"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
almost,adv. 差不多，几乎
finally,adv. 最后；终于；决定性地
exactly,adv. 恰好地；正是；精确地；正确地
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
somewhere,"n. 某个地方
adv. 在某处；到某处"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
poet,n. 诗人
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
opinion,n. 意见；主张
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
celebrity,n. 名人；名声
candidate,n. 候选人，候补者；应试者
generation,n. 一代；产生；一代人；生殖
disability,n. 残疾；无能；无资格；不利条件
performance,n. 性能；绩效；表演；执行；表现
consumption,n. 消费；消耗；肺痨
expectation,n. 期待；预期；指望
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
ocean,n. 海洋；大量；广阔
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
