data,n. 数据（datum的复数）；资料
author,"n. 作者；作家；创始人
vt. 创作出版"
decade,n. 十年，十年期；十
attitude,n. 态度；看法；意见；姿势
consumer,n. 消费者；用户，顾客
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
researcher,n. 研究员
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
infer,"vi. 推断；作出推论
vt. 推断；推论"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
recent,adj. 最近的；近代的
digital,"n. 数字；键
adj. 数字的；手指的"
neatly,adv. 整洁地；熟练地；灵巧地
carefully,adv. 小心地
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
loss,n. 减少；亏损；失败；遗失
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
degree,n. 程度，等级；度；学位；阶层
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
growth,n. 增长；发展；生长；种植
nation,n. 国家；民族；国民
policy,n. 政策，方针；保险单
system,n. 制度，体制；系统；方法
theory,n. 理论；原理；学说；推测
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
economy,n. 经济；节约；理财
journal,n. 日报，杂志；日记；分类账
justice,n. 司法，法律制裁；正义；法官，审判员
argument,n. 论证；论据；争吵；内容提要
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
generation,n. 一代；产生；一代人；生殖
environment,n. 环境，外界
productivity,n. 生产力；生产率；生产能力
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
intend,"vi. 有打算
vt. 打算；想要；意指"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
involve,vt. 包含；牵涉；使陷于；潜心于
protect,vt. 保护，防卫；警戒
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
require,vt. 需要；要求；命令
legal,adj. 法律的；合法的；法定的；依照法律的
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
economic,adj. 经济的，经济上的；经济学的
financial,adj. 金融的；财政的，财务的
political,adj. 政治的；党派的
scientific,adj. 科学的，系统的
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
fund,"n. 基金；资金；存款
vt. 投资；资助"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
limit,"n. 限制；限度；界线
vt. 限制；限定"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
whereas,conj. 然而；鉴于；反之
dam,"n.  水坝；障碍
v. 控制；筑坝"
town,n. 城镇，市镇；市内商业区
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
tech,"n. 技术学院或学校
abbr. 技术（technology）；技术员（technician）"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
