million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
data,n. 数据（datum的复数）；资料
decade,n. 十年，十年期；十
century,n. 世纪，百年；（板球）一百分
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
attitude,n. 态度；看法；意见；姿势
consumer,n. 消费者；用户，顾客
customer,n. 顾客；家伙
education,n. 教育；培养；教育学
happiness,n. 幸福
newspaper,"n. 报纸
报社
旧报纸"
researcher,n. 研究员
university,n. 大学；综合性大学；大学校舍
environment,n. 环境，外界
opportunity,n. 时机，机会
technology,n. 技术；工艺；术语
tech,"n. 技术学院或学校
abbr. 技术（technology）；技术员（technician）"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
choose,"vt. 选择，决定
vi. 选择，挑选"
explain,v. 说明；解释
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
describe,vt. 描述，形容；描绘
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
financial,adj. 金融的；财政的，财务的
political,adj. 政治的；党派的
probably,adv. 大概；或许；很可能
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
effort,n. 努力；成就
energy,n.  能量；精力；活力；精神
health,n. 健康；卫生；保健；兴旺
nature,n. 自然；性质；本性；种类
policy,n. 政策，方针；保险单
system,n. 制度，体制；系统；方法
college,n. 大学；学院；学会
economy,n. 经济；节约；理财
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
activity,n. 活动；行动；活跃
decision,n. 决定，决心；决议
industry,n. 产业；工业；勤勉
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
labour,n. （英国）工党
language,n. 语言；语言文字；表达能力
community,n. 社区； 群落；共同体；团体
generation,n. 一代；产生；一代人；生殖
population,n. 人口； 种群， 群体；全体居民
behavior,n. 行为，举止；态度；反应
behaviour,n. 行为；习性；运行状况（=behavior）
competition,n. 竞争；比赛，竞赛
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
happen,vi. 发生；碰巧；偶然遇到
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
involve,vt. 包含；牵涉；使陷于；潜心于
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
require,vt. 需要；要求；命令
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
economic,adj. 经济的，经济上的；经济学的
scientific,adj. 科学的，系统的
generally,adv. 通常；普遍地，一般地
fund,"n. 基金；资金；存款
vt. 投资；资助"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
adult,"n. 成年人
adj. 成年的；成熟的"
